"organism_biosamp","Generational_Structure","ReturnToSpawningGround","Spawning_mode","Larval_feeding","isPlanktonic_atanypoint","isBenthic","PLD_point2","Body_Size","Fecundity_EggSize"
"Acanthephyra purpurea","I",FALSE,"I","P",TRUE,"N",0,10,1
"Acanthurus olivaceus","I",FALSE,"F","P",TRUE,"S",60.8,35,0.75
"Acropora cervicornis","I",FALSE,"F","L",TRUE,"S",10,98,0.65
"Acropora palmata","I",FALSE,"F","L",TRUE,"S",10,160,0.561
"Acropora prolifera","I",FALSE,"F","L",TRUE,"S",10,120,0.65
"Agaricia fragilis","I",FALSE,"F","L",TRUE,"S",10,4.74,0.4
"Agaricia undata","I",FALSE,"F","L",TRUE,"S",10,150,0.4
"Amphiprion bicinctus","I",FALSE,"N","P",TRUE,"S",11,14,3
"Anthopleura elegantissima","I",FALSE,"F","P",TRUE,"S",28,8,0.15
"Aptenodytes patagonicus","I",TRUE,"N","N",FALSE,"S",0,100,100
"Arctocephalus forsteri","I",TRUE,"I","N",FALSE,"S",0,200,NA
"Aythya marila","I",TRUE,"N","N",FALSE,"S",0,56,100
"Bartholomea annulata","S",FALSE,"F","L",TRUE,"S",NA,30,0.2
"Bathygobius cocosensis","I",FALSE,"N","P",TRUE,"S",22.5,4,0.34
"Bathyraja aleutica","I",TRUE,"N","N",FALSE,"A",0,161,128
"Bathyraja panthera","I",NA,"N","N",FALSE,"A",0,111,98
"Callinectes sapidus","I",FALSE,"I","P",TRUE,"S",50,20,0.26
"Chlorostoma funebralis","I",FALSE,"F","P",TRUE,"S",6,5,0.16
"Coryphaenoides rupestris","I",FALSE,"F","P",TRUE,"S",195,110,2.4
"Cranchia scabra","S",NA,"F","P",TRUE,"N",119,15,NA
"Ctenolabrus rupestris","I",FALSE,"F","P",TRUE,"S",20.9,18,0.86
"Dascyllus trimaculatus","I",FALSE,"N","P",TRUE,"S",24,14,2.1
"Ectopleura larynx","I",FALSE,"I","N",FALSE,"A",0,6,NA
"Engraulis encrasicolus","I",FALSE,"F","P",TRUE,"N",100,21,1.5
"Eudyptes chrysolophus","I",TRUE,"N","N",FALSE,"S",0,60,80
