link,organism_biosamp,Generational_Structure,Generational_Structure_citation,Generational_Structure_citationOG,ReturnToSpawningGround,ReturnToSpawningGround_citation,ReturnToSpawningGround_citationOG,Spawning_mode,Spawning_mode_citation,Spawning_mode_citationOG,Larval_feeding,Larval_feeding_citation,Larval_feeding_citationOG,isPlanktonic_atanypoint,isPlanktonic_atanypoint_citation,isPlanktonic_atanypoint_citationOG,isBenthic,PLD_point2,PLD_point_citation,PLD_point_citationOG,Body_Size,Body_Size_citation,Body_Size_citationOG,Fecundity_EggSize,Fecundity_EggSize_citation,Fecundity_EggSize_citationOG
PRJNA553831_Acanthephyra-purpurea,Acanthephyra purpurea,I,1,10.3389/fmars.2020.00019,FALSE,NA,,I,1,10.3389/fmars.2020.00019,P,111,,TRUE,1,https://doi.org/10.3389/fmars.2020.00019,N,0,1,https://doi.org/10.3389/fmars.2020.00019,10,10,"Maturation, fecundity and embryos development in three deep-water shrimps (Decapoda: Caridea: Pasiphaeidae, Oplophoridae) along the mid-Atlantic Ridge from Iceland to the Azores",1,"251, 252","Comparative Population Genomics and Biophysical Modeling of Shrimp Migration in the Gulf of Mexico Reveals Current-Mediated Connectivity | Maturation, fecundity and embryos development in three deep-water shrimps (Decapoda: Caridea: Pasiphaeidae, Oplophoridae) along the mid-Atlantic Ridge from Iceland to the Azores. Arthropoda"
PRJNA371502_Acanthurus-olivaceus,Acanthurus olivaceus,I,NA,,FALSE,42,"Claydon, John Alexander Brightman (2005) The structure and dynamics of spawning aggregations of coral reef fish. PhD thesis, James Cook University.",F,58, Relationships between early life history traits and recruitment among coral reef ﬁshes,P,109,,TRUE,145, Relationships between early life history traits and recruitment among coral reef ﬁshes,S,60.8,172,Microstructure of settlement-marks in the otoliths of tropical reef fishes,35,35,"Randall, J.E., 1956. A revision of the surgeonfish genus Acanthurus. Pac. Sci. 10(2):159-235.",0.75,205,10.1111/jwas.12496
PRJNA473816_Acropora-cervicornis,Acropora cervicornis,I,2,10.1038/sdata.2016.17,FALSE,2,10.1038/sdata.2016.17,F,59,10.7717/peerj.9705,L,112,,TRUE,59,https://doi.org/10.7717/peerj.9705,S,10,59,https://doi.org/10.7717/peerj.9705,98,98,10.7717/peerj.1861,0.65,253,10.1038/s41598-020-68289-4
PRJNA473816_Acropora-palmata,Acropora palmata,I,2,10.1038/sdata.2016.17,FALSE,2,10.1038/sdata.2016.17,F,59,10.7717/peerj.9705,L,112,,TRUE,59,https://doi.org/10.7717/peerj.9705,S,10,59,https://doi.org/10.7717/peerj.9705,160,160,10.1007/s00338-007-0291-1,0.561,253,10.1038/s41598-020-68289-4
PRJNA473816_Acropora-prolifera,Acropora prolifera,I,2,10.1038/sdata.2016.17,FALSE,2,10.1038/sdata.2016.17,F,59,10.7717/peerj.9705,L,112,,TRUE,59,https://doi.org/10.7717/peerj.9705,S,10,59,https://doi.org/10.7717/peerj.9705,120,120,wikipedia,0.65,253,10.1038/s41598-020-68289-4
PRJNA361144_Agaricia-fragilis,Agaricia fragilis,I,2,10.1038/sdata.2016.17,FALSE,2,10.1038/sdata.2016.17,F,60,10.1016/0022-0981(88)90027-5,L,112,,TRUE,60,https://doi.org/10.1016/0022-0981(88)90027-5,S,10,60,https://doi.org/10.1016/0022-0981(88)90027-5,4.74,4.74,10.3354/dao069033,0.4,60,10.1016/0022-0981(88)90027-5
PRJNA385083_Agaricia-undata,Agaricia undata,I,2,10.1038/sdata.2016.17,FALSE,2,10.1038/sdata.2016.17,F,60,10.1016/0022-0981(88)90027-5,L,112,,TRUE,60,https://doi.org/10.1016/0022-0981(88)90027-5,S,10,60,https://doi.org/10.1016/0022-0981(88)90027-5,150,150,https://coralpedia.bio.warwick.ac.uk/en/corals/agaricia_undata,0.4,60,10.1016/0022-0981(88)90027-5
PRJNA294760_Amphiprion-bicinctus,Amphiprion bicinctus,I,NA,,FALSE,NA,,N,61, Relationships between early life history traits and recruitment among coral reef ﬁshes,P,109,,TRUE,147, Relationships between early life history traits and recruitment among coral reef ﬁshes,S,11,173,10.1007/s00338-015-1266-2,14,14,Fishbase 2000,3,254,http://www.ipcbee.com/vol22/11-CAAS2011-X026.pdf
PRJNA632874_Anthopleura-elegantissima,Anthopleura elegantissima,I,3,10.1016/0022-0981(81)90159-3,FALSE,NA,,F,3,10.1016/0022-0981(81)90159-3,P,113,,TRUE,113,https://doi.org/10.1111/mec.15506,S,28,113,https://doi.org/10.1111/mec.15506,8,8,10.1111/mec.15506,0.15,255,"Reproduction in the aggregating sea anemone, Anthopleura elegantissima."
PRJNA343012_Aptenodytes-patagonicus,Aptenodytes patagonicus,I,4,10.2305/IUCN.UK.2020-3.RLTS.T22697748A184637776.en,TRUE,43,10.1111/mec.14896,N,62,NA,N,114,,FALSE,NA,,S,0,NA,,100,100,10.1086/419312,100,114,10.1086/419312
PRJNA419445_Arctocephalus-forsteri,Arctocephalus forsteri,I,5,10.2305/IUCN.UK.2015-2.RLTS.T41664A45230026.en,TRUE,5,10.2305/IUCN.UK.2015-2.RLTS.T41664A45230026.en,I,62,NA,N,5,,FALSE,NA,,S,0,NA,,200,200,10.2305/IUCN.UK.2015-2.RLTS.T41664A45230026.en,NA,256,NA
PRJNA299372_Aythya-marila,Aythya marila,I,6,10.2305/IUCN.UK.2018-2.RLTS.T22680398A132525108.en,TRUE,6,10.2305/IUCN.UK.2018-2.RLTS.T22680398A132525108.en,N,63,NA,N,6,,FALSE,NA,,S,0,NA,,56,56,10.2305/IUCN.UK.2018-2.RLTS.T22680398A132525108.en,100,6,10.2305/IUCN.UK.2018-2.RLTS.T22680398A132525108.en
