link,project_acc_bioprj,project_title_bioprj,project_description_bioprj,common_name,organism_biosamp,clade,n_biosample_accs,date_dataset_first_added_to_this_list,has_latlong_in_NCBI,is_salmonoid,commenter,comments,commenter_spatialdata,comments_about_spatial_data_location,keepinrunning_YN,link_to_published_paper,datathon_project_index,scientificname_worms,rad_method,Category,isMarine_worms,isBrackish_worms,isFreshwater_worms,isTerrestrial_worms,isCoral,kingdom_worms,phylum_worms,class_worms,order_worms,family_worms,genus_worms,somePopsFWorBrackish,isInvasiveRange,isMaybeHybrid,DiffbyDepthSuspected,isAdultBenthicMarine,isNektonSometimes,isInvert,isFish,isAmniote,isPlant,PLD_point,PLD_point_citation,PLD_minmax,PLD_Min,PLD_Max,PLD_point2,PLD_minmax_citation,PLD_Method,Brooding,Planktonic_Mode,PLD_method_citation,isPlanktonic_atanypoint,isPlanktonic_atanypoint_citation,Spawning_mode,Spawning_mode_citation,Larval_feeding,Adult_Motility,Larval_feeding_citation,Large_Adult_Range,Large_Adult_Range_citation,ReturnToSpawningGround,ReturnToSpawningGround_citation,Spawnlocation,Spawnlocation_citation,Fecundity_EggsFemaleSpawn,Fecundity_EggsFemaleSpawn_citation,Fecundity_SpawnFrequency,Fecundity_SpawnFrequency_citation,Fecundity_EggSize,LogEgg,Fecundity_EggSize_citation,Body_Size,Body_Size_citation,Reproductive_Age,Reproductive_Age_citation,Longevity,Coded_longevity,Longevity_citation,Generational_Structure,Generational_Structure_citation,Asexual_Stage,Asexual_Stage_citation,Human_Interactions_economic,Human_Interactions_economic_citation,Census_Size,Census_Size_citation,Range_Size,Genome_Size_MB,Genome_Size_MB_citation,Genome_Size_picoGrams,Genome_Size_picoGrams_citation,senior check-off,Time Spent (minutes),Citations,Comments_traits,Image_Citation,final_keepers
PRJNA553831_Acanthephyra-purpurea,PRJNA553831,Comparative population genomics  of shrimp in the Gulf of Mexico midwater,"The Gulf of Mexico experiences frequent perturbations, both natural and anthropogenic. To better understand the impacts of these events, we must inventory natural variability within the ecosystem, communities, species, and populations, and contextualize these findings in relation to physical features. This data is part of a comparative population genomics study targeting three species of mesopelagic shrimp common to the Gulfof Mexico midwater (Acanthephyra purpurea, Systellaspis debilis, and Robustosergia robusta). We analyzed genetic diversity and population connectivity as proxies for species health and resilience, respectively, with the goals of establishing biological baselines and characterizing these values in terms of the prevailing oceanographic feature of the midwater: the Gulf Loop Current.",Purple deep-sea shrimp,Acanthephyra purpurea,NA,96,43790,y,n,anonymous Marinerd,"paper says ""This “500 SNP” rule was necessary in the case of the oplophorids A. purpurea and S. debilis, as
strict filtering resulted in data sets reduced to unusably small
sizes. This is likely the result of very large genome sizes...""",NA,NA,yes,https://www.frontiersin.org/articles/10.3389/fmars.2020.00019,NA,Acanthephyra purpurea,ddRAD,Passive Pelagic Dispersal,1,0,0,0,0,Animalia,Arthropoda,Malacostraca,Decapoda,Acanthephyridae,Acanthephyra,F,F,F,F,F,T,T,F,F,F,NA,https://dalspace.library.dal.ca/bitstream/handle/10222/52495/Jorquera-Erika-MSc-Biol-July-2014.pdf?sequence=3&isAllowed=y,NA,NA,NA,NA,NA,NA,F,P,NA,T,https://doi.org/10.3389/fmars.2020.00019,I,https://doi.org/10.3389/fmars.2020.00019,P,F,https://www.jstor.org/stable/20102540,T,https://www.jstor.org/stable/20102540,F,NA,Deep,NA,944,DOI: 1http://kmkjournals.com/upload/PDF/ArthropodaSelecta/24/24_4_401_416_Sudnik_for_Inet.pdf DOI: 0.15298/arthsel.24.4.03,NA,NA,1,0.3010299956639812,"https://doi.org/10.3389/fmars.2020.00019, http://kmkjournals.com/upload/PDF/ArthropodaSelecta/24/24_4_401_416_Sudnik_for_Inet.pdf",10,http://kmkjournals.com/upload/PDF/ArthropodaSelecta/24/24_4_401_416_Sudnik_for_Inet.pdf,NA,NA,3,3,https://kmkjournals.com/upload/PDF/ArthropodaSelecta/24/24_4_401_416_Sudnik_for_Inet.pdf,I,https://doi.org/10.3389/fmars.2020.00019,F,NA,NA,NA,NA,NA,NA,TBD,PMCID: PMC5464758,TBD,PMCID: PMC5464758,JW,NA,"Foxton 1964, no doi? Crustaceana 6:235-237 https://www.jstor.org/stable/20102540; bodysize = https://doi.org/10.1163/1937240X-00002100",NA,NA,TRUE
PRJNA348663_Acanthochromis-polyacanthus,PRJNA348663,"Acclimation mechanisms to global warming using the coral reef fish, Acanthochromis polyacanthus","Sequencing dataset from unique multi-generational rearing experiments were generated to study the acclimation mechanisms of the coral reef fish, Acanthochromis polyacanthus.",spiny chromis,Acanthochromis polyacanthus,NA,24,43790,n,n,CR,quant gen study,NA,NA,no,NA,NA,Acanthochromis polyacanthus,NA,NA,1,0,0,0,NA,Animalia,Chordata,Actinopterygii,Perciformes,Pomacentridae,Acanthochromis,F,F,F,F,T,F,F,T,F,F,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,F,NA,NA,NA,NA,NA,NA,F,NA,F,NA,NA,NA,400,10.1007/s00338-015-1380-1,NA,NA,4.4034657030000002,0.7326723992488388,10.1007/s00338-015-1380-1,14,"Kuiter, R.H. and T. Tonozuka, 2001. Pictorial guide to Indonesian reef fishes. Part 2. Fusiliers - Dragonets, Caesionidae - Callionymidae. Zoonetics, Australia. 304-622 p.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA371502_Acanthurus-olivaceus,PRJNA371502,Acanthurus_olivaceus_RADSeq_data,RADSeq data for the reef fish Acanthurus olivaceus,Orangespot surgeonfish,Acanthurus olivaceus,NA,52,43790,y,n,anonymous Marinerd,good,NA,NA,yes,https://onlinelibrary.wiley.com/doi/epdf/10.1111/mec.13129,NA,Acanthurus olivaceus,ddRAD,Passive Pelagic Dispersal,1,0,0,0,0,Animalia,Chordata,Actinopterygii,Perciformes,Acanthuridae,Acanthurus,F,F,F,F,T,F,F,T,F,F,60.8,https://link.springer.com/content/pdf/10.1007/s002270050522.pdf,40–70,40,70,60.8,https://onlinelibrary.wiley.com/doi/epdf/10.1111/mec.13129,Otoliths | Citing other studies,F,P,https://link.springer.com/content/pdf/10.1007/s002270050522.pdf | https://onlinelibrary.wiley.com/doi/epdf/10.1111/mec.13129,T,"Cowen, R. K., and S. Sponaugle. 1997. Relationships between early life history traits and recruitment among coral reef ﬁshes. Pages 421–449 in R. Chambers and E. A. Trippel, eds. Early life history and recruitment in ﬁsh populations. Chapman & Hall, London. | Leis, J. M. 1991. The pelagic stage of reef ﬁshes: the larval biology of coral reef ﬁshes. Pages 183–230 in P. F. Sale, ed. The ecology of ﬁshes on coral reefs. Academic Press, San Diego, CA.",F,"Cowen, R. K., and S. Sponaugle. 1997. Relationships between early life history traits and recruitment among coral reef ﬁshes. Pages 421–449 in R. Chambers and E. A. Trippel, eds. Early life history and recruitment in ﬁsh populations. Chapman & Hall, London. | Leis, J. M. 1991. The pelagic stage of reef ﬁshes: the larval biology of coral reef ﬁshes. Pages 183–230 in P. F. Sale, ed. The ecology of ﬁshes on coral reefs. Academic Press, San Diego, CA.",P,F,"Cowen, R. K., and S. Sponaugle. 1997. Relationships between early life history traits and recruitment among coral reef ﬁshes. Pages 421–449 in R. Chambers and E. A. Trippel, eds. Early life history and recruitment in ﬁsh populations. Chapman & Hall, London. | Leis, J. M. 1991. The pelagic stage of reef ﬁshes: the larval biology of coral reef ﬁshes. Pages 183–230 in P. F. Sale, ed. The ecology of ﬁshes on coral reefs. Academic Press, San Diego, CA.",F,(general knowledge),F,https://researchonline.jcu.edu.au/1087/2/02chapters1-3.pdf,NA,NA,20000–55000,https://panamjas.org/pdf_artigos/PANAMJAS_13(1)_25-35.pdf,365,https://panamjas.org/pdf_artigos/PANAMJAS_13(1)_25-35.pdf,0.75,0.24303804868629444,https://onlinelibrary.wiley.com/doi/epdf/10.1111/jwas.12496,17–35,"Randall, J.E., 1956. A revision of the surgeonfish genus Acanthurus. Pac. Sci. 10(2):159-235.",2,https://www.researchgate.net/publication/278304914_Age-Based_Studies,35,35,https://onlinelibrary.wiley.com/doi/epdf/10.1111/mec.13129,I,NA,F,NA,T (aquarium),NA,NA,NA,NA,NA,NA,NA,NA,CR,NA,NA,NA,NA,TRUE
PRJNA603574_Acipenser-oxyrinchus,PRJNA603574,Acipenser oxyrinchus Reduced Representation Sequencing,Samples of Acipenser oxyrinchus genomic DNA subjected to restriction digest with NlaIII and MluCI and paired-end sequenced.,Atlantic sturgeon,Acipenser oxyrinchus,NA,16,44169,n,NA,EDC,Polyploid,NA,NA,no,NA,NA,Acipenser oxyrinchus,NA,NA,1,1,1,0,NA,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA564091_Acipenser-oxyrinchus-oxyrinchus,PRJNA564091,Acipenser oxyrinchus oxyrinchus genomic DNA sequence reads,These samples represent shotgun genomic DNA sequencing of multiple Atlantic sturgeon adults and juveniles collected along the US Atlantic Coast.,Atlantic sturgeon,Acipenser oxyrinchus oxyrinchus,NA,71,43790,n,n,Beth Davis via DIPnet datathon,"Polyploid. Cannot find paper for this project; don't have coordinates, no response from author",NA,NA,no,NA,M0067,Acipenser oxyrinchus oxyrinchus,NA,NA,1,1,1,NA,NA,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA407891_Acipenser-ruthenus,PRJNA407891,Next generation sequencing of chromosome specific libraries of paleotetraploid sterlet (Acipenser ruthenus),"This study is focused on comparison of genetic content of paralogous chromosomes originating from ancient whole-genome duplication in sterlet, Acipenser ruthenus",sterlet,Acipenser ruthenus,NA,10,43790,n,n,CR,riverine. polyploid.,NA,NA,no,NA,NA,Acipenser ruthenus,NA,NA,0,1,1,0,NA,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA530323_Acipenser-schrenckii,PRJNA530323,Sex-specific DNA fragments in Acipenseridae rapidly identified using comparative genomics with high-throughput sequencing,Species : Amur sturgeon (Acipenser schrenckii)Source of sample tissue : blood,Amur sturgeon,Acipenser schrenckii,NA,40,44169,n,NA,EDC,Polyploid,NA,NA,no,NA,NA,Acipenser schrenckii,NA,NA,1,1,1,0,NA,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA359591_Acipenser-sinensis,PRJNA359591,Chinese sturgeon genetic map,genetic map construction for Chinese sturgeon using SLAF-seq,Chinese sturgeon,Acipenser sinensis,NA,99,43790,n,n,CR,"cant find paper, polyploid",NA,NA,no,?,NA,Acipenser sinensis,NA,NA,1,1,1,0,NA,Animalia,Chordata,Actinopterygii,Acipenseriformes,Acipenseridae,Acipenser,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,FALSE
PRJNA473816_Acropora-cervicornis,PRJNA473816,Genome-wide survey of Caribbean Acroporids,"The sympatric corals Acropora palmata and A. cervicornis form the hybrid, A. prolifera, whose abundance has continued to increase, either through fragmentation or sexual reproduction, while the parental species decline. We are using genomic sequence data from the two parental species and their hybrids to further characterize the patterns of genomic synteny, divergence and introgression across hybrid zones. The data provided through this project constitutes the collaborative work of the Iliana Baums's Lab at Pennsylvania State University, Webb Miller at Pennsylvania State University and Nicole Fogarty's Lab at NOVA Southeastern University.",Staghorn coral,Acropora cervicornis,NA,22,43790,n,n,"JW, Sofia Beskid via DIPnet datathon",Authors responded. Awaiting publication before derived data are sent.,JW,NA,yes,https://doi.org/10.1101/2020.09.26.314773 | https://doi.org/10.1534/g3.119.400125,M0040,Acropora cervicornis,WGS,Passive Pelagic Dispersal,1,0,0,0,1,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,F,F,F,T,T,F,T,F,F,F,10,https://doi.org/10.7717/peerj.9705,7–70,7,70,10,https://doi.org/10.7717/peerj.9705,Culture chambers,F,P,https://doi.org/10.7717/peerj.9705,T,https://doi.org/10.7717/peerj.9705,F,https://doi.org/10.7717/peerj.9705,L,F,doi:10.1007/s00338-012-0999-4,F,coraltraits.org,F,coraltraits.org,Caribbean,coraltraits.org,16820,doi:10.1007/s00338-005-0070-9.https://link.springer.com/article/10.1007/s00338-005-0070-9. 1; http://people.uncw.edu/millers/Documents/Acropora_2006_Quicklook_Text.pdf Assume 100 cm^2 live surface area.,1–2,https://doi.org/10.1038/s41598-020-68289-4,0.65,0.21748394421390627,https://doi.org/10.1038/s41598-020-68289-4,200,coraltraits.org,1–3,https://animaldiversity.org/accounts/Acropora_millepora/,INDET,99,NA,I,NA,T,NA,NA,NA,NA,NA,NA,384-447,https://doi.org/10.1093/molbev/msaa216,NA,NA,JW,NA,NA,NA,NA,TRUE
PRJNA523382_Acropora-cervicornis,PRJNA523382,WGS of Acropora cervicornis Thickets and Isolated Colonies,Data from high and low -density assemblages of Caribbean staghorn coral used in,Staghorn coral,Acropora cervicornis,NA,407,43790,n,n,Sofia Beskid via DIPnet datathon,"duplicate species dataset and this one dropped - have Stacks data, 400 some samples, but only one small location, 3.5 million reads max",NA,Sample names in SRA,no,https://doi.org/10.1002/ece3.5035,M0049,Acropora cervicornis,GBS; ApeKI,Passive Pelagic Dispersal,1,0,0,0,1,Animalia,Cnidaria,Anthozoa,Scleractinia,Acroporidae,Acropora,F,F,F,T,T,F,T,F,F,F,10,https://doi.org/10.7717/peerj.9705,7–70,7,70,10,https://doi.org/10.7717/peerj.9705,Culture chambers,F,P,https://doi.org/10.7717/peerj.9705,T,https://doi.org/10.7717/peerj.9705,F,https://doi.org/10.7717/peerj.9705,L,F,doi:10.1007/s00338-012-0999-4,F,coraltraits.org,F,coraltraits.org,Caribbean,coraltraits.org,16820,doi:10.1007/s00338-005-0070-9.https://link.springer.com/article/10.1007/s00338-005-0070-9. 1; http://people.uncw.edu/millers/Documents/Acropora_2006_Quicklook_Text.pdf Assume 100 cm^2 live surface area.,1–2,https://doi.org/10.1038/s41598-020-68289-4,0.65,0.21748394421390627,https://doi.org/10.1038/s41598-020-68289-4,200,coraltraits.org,1–3,https://animaldiversity.org/accounts/Acropora_millepora/,INDET,99,NA,I,NA,T,NA,NA,NA,NA,NA,NA,384-447,https://doi.org/10.1093/molbev/msaa216,NA,NA,JW,NA,NA,NA,NA,FALSE
